: 440735K->48960K(440896K), 0.0179200 secs] 4773953K->4449201K(12533952K), 0.0181650 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
: 440736K->48934K(440896K), 0.0180580 secs] 4840977K->4513936K(12533952K), 0.0184740 secs] [Times: user=0.26 sys=0.00, real=0.02 secs] 
: 440870K->48959K(440896K), 0.0222660 secs] 4905872K->4576413K(12533952K), 0.0224490 secs] [Times: user=0.35 sys=0.00, real=0.03 secs] 
: 440886K->48960K(440896K), 0.0208640 secs] 4968339K->4650750K(12533952K), 0.0210880 secs] [Times: user=0.29 sys=0.00, real=0.02 secs] 
: 440886K->48948K(440896K), 0.0176550 secs] 5042677K->4707998K(12533952K), 0.0178410 secs] [Times: user=0.26 sys=0.01, real=0.02 secs] 
: 440840K->48960K(440896K), 0.0199440 secs] 5099891K->4771555K(12533952K), 0.0201660 secs] [Times: user=0.29 sys=0.00, real=0.02 secs] 
: 440781K->48960K(440896K), 0.0193340 secs] 5163377K->4834730K(12533952K), 0.0195780 secs] [Times: user=0.27 sys=0.00, real=0.02 secs] 
: 440896K->48959K(440896K), 0.0229510 secs] 5226666K->4905428K(12533952K), 0.0231860 secs] [Times: user=0.26 sys=0.01, real=0.03 secs] 
: 440895K->48960K(440896K), 0.0202360 secs] 5297364K->4966464K(12533952K), 0.0204630 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
: 440789K->48936K(440896K), 0.0267060 secs] 5358294K->5031674K(12533952K), 0.0268820 secs] [Times: user=0.25 sys=0.01, real=0.03 secs] 
: 440872K->48960K(440896K), 0.0223210 secs] 5423610K->5099001K(12533952K), 0.0225270 secs] [Times: user=0.26 sys=0.01, real=0.02 secs] 
: 440896K->48950K(440896K), 0.0207160 secs] 5490937K->5163720K(12533952K), 0.0209700 secs] [Times: user=0.25 sys=0.01, real=0.02 secs] 
: 440854K->48960K(440896K), 0.0186910 secs] 5555624K->5225717K(12533952K), 0.0189100 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
: 440768K->48960K(440896K), 0.0247100 secs] 5617526K->5299407K(12533952K), 0.0248970 secs] [Times: user=0.33 sys=0.01, real=0.02 secs] 
: 440896K->48922K(440896K), 0.0217640 secs] 5691343K->5357953K(12533952K), 0.0219610 secs] [Times: user=0.31 sys=0.01, real=0.03 secs] 
: 440858K->48934K(440896K), 0.0239340 secs] 5749889K->5423244K(12533952K), 0.0241470 secs] [Times: user=0.30 sys=0.00, real=0.03 secs] 
: 440733K->48935K(440896K), 0.0211580 secs] 5815043K->5486391K(12533952K), 0.0213860 secs] [Times: user=0.28 sys=0.01, real=0.02 secs] 
: 440871K->48959K(440896K), 0.0210730 secs] 5878327K->5550039K(12533952K), 0.0213070 secs] [Times: user=0.29 sys=0.00, real=0.02 secs] 
: 440895K->48949K(440896K), 0.0193490 secs] 5941975K->5615148K(12533952K), 0.0195170 secs] [Times: user=0.25 sys=0.01, real=0.02 secs] 
: 440784K->48951K(440896K), 0.0215460 secs] 6006983K->5680002K(12533952K), 0.0217110 secs] [Times: user=0.25 sys=0.01, real=0.02 secs] 
: 440736K->48933K(440896K), 0.0249430 secs] 6071787K->5745192K(12533952K), 0.0251740 secs] [Times: user=0.30 sys=0.01, real=0.02 secs] 
: 440867K->48944K(440896K), 0.0243290 secs] 6137126K->5809658K(12533952K), 0.0245410 secs] [Times: user=0.26 sys=0.01, real=0.02 secs] 
: 440862K->48960K(440896K), 0.0226340 secs] 6201576K->5874127K(12533952K), 0.0228070 secs] [Times: user=0.28 sys=0.01, real=0.02 secs] 
: 440896K->48912K(440896K), 0.0194620 secs] 6266063K->5939160K(12533952K), 0.0196570 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
: 440848K->48960K(440896K), 0.0212370 secs] 6331096K->6003802K(12533952K), 0.0214310 secs] [Times: user=0.29 sys=0.01, real=0.02 secs] 
: 440754K->48960K(440896K), 0.0187670 secs] 6395596K->6068951K(12533952K), 0.0190240 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
: 440771K->48914K(440896K), 0.0182470 secs] 6460763K->6134091K(12533952K), 0.0184430 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
: 440782K->48960K(440896K), 0.0174950 secs] 6525959K->6198702K(12533952K), 0.0177630 secs] [Times: user=0.26 sys=0.01, real=0.02 secs] 
: 440877K->48960K(440896K), 0.0216590 secs] 6590619K->6262865K(12533952K), 0.0218680 secs] [Times: user=0.32 sys=0.00, real=0.02 secs] 
